03:12:16 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_lumi.map
03:12:16 PM Nov 12, 2013 > INIT TIME:11 (sec)
03:12:16 PM Nov 12, 2013 > Start HV server -> port: 5555
03:33:48 PM Nov 12, 2013 > Begin initialization...

03:33:57 PM Nov 12, 2013 > intelha3:2001:
03:33:57 PM Nov 12, 2013 > End initialization
03:36:20 PM Nov 12, 2013 > HV monitor started -> intelha3:2001
03:36:20 PM Nov 12, 2013 > intelha3:2001:HVON
03:36:20 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_E.map
03:36:20 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/TA_dE.map
03:36:21 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_gc.map
03:36:21 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_sh.map
03:36:21 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s1.map
03:36:21 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_ps.map
03:36:21 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/RHRS_s2m.map
03:36:21 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_prl2.map
03:36:21 PM Nov 12, 2013 > ERROR : Map file not found: /adaqfs/home/adev/slowc/LEFT/hv_maps/LHRS_gc.map
